name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
日本本土,亚洲,07.14,False,325,0,22422,0,984,18058,3380,325,325,0,0
阿尔及利亚,非洲,07.14,False,494,0,19689,0,1018,14019,4652,494,211,276,7
摩尔多瓦,欧洲,07.14,False,57,0,19439,0,649,12793,5997,57,50,0,7
奥地利,欧洲,07.14,False,73,0,19021,0,709,17073,1239,73,-1,73,1
塞尔维亚,欧洲,07.14,False,344,0,18983,0,418,13991,4574,344,280,51,13
尼泊尔,亚洲,07.14,False,116,0,17061,0,38,10328,6695,116,82,34,0
摩洛哥,非洲,07.14,False,226,0,16047,0,256,13403,2388,226,-504,727,3
喀麦隆,非洲,07.14,False,0,0,15173,0,359,11928,2886,0,0,0,0
乌兹别克斯坦,亚洲,07.14,False,633,0,13993,0,65,8074,5854,633,408,222,3
韩国,亚洲,07.14,False,33,0,13512,0,289,12282,941,33,-45,78,0
丹麦,欧洲,07.14,False,24,0,13262,0,610,12361,291,24,-6,30,0
捷克,欧洲,07.14,False,64,0,13238,0,353,8373,4512,64,-63,126,1
科特迪瓦,非洲,07.14,False,106,0,12872,0,84,6810,5978,106,-50,156,0
吉尔吉斯斯坦,亚洲,07.14,False,327,0,11444,0,149,3538,7757,327,247,78,2
苏丹,非洲,07.14,False,66,0,10316,0,657,5403,4256,66,-3,62,7
萨尔瓦多,北美洲,07.14,False,325,0,10303,0,278,5919,4106,325,127,187,11
肯尼亚,非洲,07.14,False,0,0,10294,0,197,2946,7151,0,0,0,0
澳大利亚,大洋洲,07.14,False,271,0,10251,0,110,7835,2306,271,203,66,2
委内瑞拉,南美洲,07.14,False,242,0,9707,0,93,2671,6943,242,238,0,4
挪威,欧洲,07.14,False,3,0,8984,0,253,8138,593,3,3,0,0
