,职位名,详细链接,公司名,工作地点,薪资,发布时间
88,高级UI设计师,https://jobs.51job.com/nanjing-jyq/122207930.html?s=01&t=0,江苏星网软件有限公司,南京-建邺区,0.8-1万/月,07-10
89,数据统计员,https://jobs.51job.com/nanjing-glq/120868883.html?s=01&t=0,江苏百旺金赋信息科技有限公司,南京-鼓楼区,4.5-6千/月,07-10
90,大数据开发工程师,https://jobs.51job.com/nanjing-yhtq/113182467.html?s=01&t=0,江苏图星软件科技有限责任公司,南京-雨花台区,1.2-2万/月,07-10
91,产品经理,https://jobs.51job.com/beijing-hdq/122132653.html?s=01&t=0,北京掌上先机网络科技有限公司,异地招聘,0.8-1万/月,07-10
92,硬件产品经理,https://jobs.51job.com/nanjing-pkq/123048088.html?s=01&t=0,江苏群杰物联科技有限公司,南京-浦口区,1-2万/月,07-10
93,运营顾问,https://jobs.51job.com/nanjing/122025426.html?s=01&t=0,北京多来点信息技术有限公司-南京...,南京,5-8千/月,07-10
94,算法工程师,https://jobs.51job.com/nanjing-xwq/121416892.html?s=01&t=0,江苏前景信息科技有限公司,南京-玄武区,1.5-2万/月,07-10
95,技术工程师（SAAS方向产品）,https://jobs.51job.com/nanjing/95214159.html?s=01&t=0,南京明源拓展软件有限公司,南京,0.7-1.2万/月,07-10
96,产品经理,https://jobs.51job.com/nanjing-xwq/122368898.html?s=01&t=0,江苏正融科技有限公司,南京-玄武区,0.8-1.6万/月,07-10
97,产品经理,https://jobs.51job.com/nanjing-qxq/123507411.html?s=01&t=0,南京模幻天空航空科技有限公司,南京-栖霞区,1-1.5万/月,07-10
98,数据开发工程师,https://jobs.51job.com/nanjing-pkq/121255556.html?s=01&t=0,北京智盟信通科技有限公司,南京-浦口区,0.9-1.2万/月,07-10
99,大数据开发工程师,https://jobs.51job.com/nanjing/120969068.html?s=01&t=0,南京宝正见企业管理有限公司,南京,1-2万/月,07-10
100,Android开发工程师,https://jobs.51job.com/nanjing-glq/115246558.html?s=01&t=0,深圳市达铭丰科技有限公司,南京-鼓楼区,2-5万/月,07-10
101,电话销售接听回访专员,https://jobs.51job.com/nanjing-jyq/122602837.html?s=01&t=0,无锡博茂启域文化传媒有限公司,南京-建邺区,6-8千/月,07-10
102,新媒体运营,https://jobs.51job.com/nanjing-qhq/123070116.html?s=01&t=0,南京名都智能科技有限公司,南京-秦淮区,0.8-1.5万/月,07-10
103,教学老师/教研专员 年薪15W起+福利补贴,https://jobs.51job.com/nanjing-xwq/119055218.html?s=01&t=0,企畅企业管理（上海）有限公司,南京-玄武区,15-25万/年,07-10
104,产品经理,https://jobs.51job.com/nanjing-xwq/123489392.html?s=01&t=0,江苏增源软件有限公司,南京-玄武区,0.6-1万/月,07-10
105,产品经理,https://jobs.51job.com/nanjing/122968391.html?s=01&t=0,南京智芯微处理器科技有限公司,南京,1.5-3万/月,07-10
106,物联网开发,https://jobs.51job.com/nanjing-qxq/122924009.html?s=01&t=0,南京南邮通信网络产业研究院有限公...,南京-栖霞区,1-1.5万/月,07-10
107,销售主管,https://jobs.51job.com/nanjing-xwq/121568532.html?s=01&t=0,北京万华恒信信息技术有限公司,南京-玄武区,0.8-1万/月,07-10
108,网络推广专员,https://jobs.51job.com/nanjing-pkq/123221544.html?s=01&t=0,南京云化通网络科技有限公司,南京-浦口区,4-6千/月,07-10
109,暖通工程师,https://jobs.51job.com/nanjing-gcq/119107234.html?s=01&t=0,南京华仓云数据有限公司,南京-高淳区,1-2万/月,07-10
110,数据工程师,https://jobs.51job.com/wuhan-jhq/121742758.html?s=01&t=0,武汉东方赛思软件股份有限公司,异地招聘,5-8千/月,07-10
111,交通大数据产品经理（高级）,https://jobs.51job.com/nanjing-qhq/122467574.html?s=01&t=0,江苏欣网视讯软件技术有限公司,南京-秦淮区,1.5-2.2万/月,07-10
112,产品经理,https://jobs.51job.com/nanjing-yhtq/123025420.html?s=01&t=0,北京宽连十方数字技术有限公司,南京-雨花台区,1-1.5万/月,07-10
113,软件开发,https://jobs.51job.com/nanjing/119762349.html?s=01&t=0,江苏长天智远交通科技有限公司,南京,4.5-6千/月,07-10
114,销售专员,https://jobs.51job.com/nanjing-xwq/120740029.html?s=01&t=0,郑州永三网络科技有限公司,南京-玄武区,0.8-1万/月,07-10
115,软件实施工程师,https://jobs.51job.com/nanjing-qhq/105406507.html?s=01&t=0,南京翼职盟教育科技有限公司,南京-秦淮区,0.7-1万/月,07-10
116,DBA数据库工程师,https://jobs.51job.com/nanjing-pkq/122047069.html?s=01&t=0,北京中农信达信息技术有限公司,南京-浦口区,1-1.5万/月,07-10
117,大数据开发工程师,https://jobs.51job.com/nanjing-yhtq/121135847.html?s=01&t=0,南京国瑞能源科技有限公司,南京-雨花台区,1-1.5万/月,07-10
118,新媒体运营专员,https://jobs.51job.com/nanjing-jnq/105051829.html?s=01&t=0,南京启诺信息技术有限公司,南京-江宁区,0.4-1.5万/月,07-10
119,市场专员,https://jobs.51job.com/nanjing-yhtq/122845881.html?s=01&t=0,象皮尼教育,南京-雨花台区,4.5-6千/月,07-10
120,产品经理,https://jobs.51job.com/nanjing-qhq/122245792.html?s=01&t=0,南京火眼猴信息科技有限公司,南京-秦淮区,1-1.5万/月,07-10
121,信息安全内容审核,https://jobs.51job.com/nanjing/106480514.html?s=01&t=0,北京华中融合科技有限公司,南京,3.8-5.5千/月,07-10
122,高级影像评优工程师,https://jobs.51job.com/nanjing/122413961.html?s=01&t=0,易诚高科科技有限公司,南京,1-2万/月,07-10
123,商务经理,https://jobs.51job.com/nanjing-yhtq/119420212.html?s=01&t=0,南京药育智能科技有限公司,南京-雨花台区,1-1.5万/月,07-10
124,大数据开发工程师,https://jobs.51job.com/nanjing-glq/123026572.html?s=01&t=0,上海辰仕科技发展有限公司,南京-鼓楼区,1-2万/月,07-10
125,商务经理,https://jobs.51job.com/nanjing-yhtq/122416863.html?s=01&t=0,上海旷沃科技有限公司,南京-雨花台区,1.2-1.8万/月,07-10
126,银行业务BPO运营经理岗,https://jobs.51job.com/nanjing-jyq/123233323.html?s=01&t=0,深圳市紫金支点技术股份有限公司,南京-建邺区,1-1.5万/月,07-10
127,中级开发工程师（web）,https://jobs.51job.com/nanjing-pkq/111525361.html?s=01&t=0,航天壹进制（南京）数据科技有限公...,南京-浦口区,1-1.5万/月,07-10
128,大数据开发工程师,https://jobs.51job.com/nanjing/123398238.html?s=01&t=0,南京君度科技有限公司,南京,1-2万/月,07-10
129,新媒体运营经理,https://jobs.51job.com/nanjing/123138578.html?s=01&t=0,江苏猎宝网络科技股份有限公司,南京,1.5-3万/月,07-10
130,销售副总监,https://jobs.51job.com/nanjing-yhtq/119493470.html?s=01&t=0,江苏中协智能科技有限公司,南京-雨花台区,1.5-2万/月,07-10
131,商务助理,https://jobs.51job.com/nanjing-pkq/122720555.html?s=01&t=0,钛能科技股份有限公司,南京-浦口区,4-5千/月,07-10
132,某一百强公司招聘#产品运营#,https://jobs.51job.com/nanjing-yhtq/119946850.html?s=01&t=0,万宝盛华企业管理咨询（上海）有限...,南京-雨花台区,1-1.5万/月,07-10
133,项目管培生,https://jobs.51job.com/nanjing/122406489.html?s=01&t=0,速度时空信息科技股份有限公司,南京,4-6千/月,07-10
