广州市银鹏汽车贸易有限公司,数据产品经理,广州-番禺区,3-4.5千/月,09-03
上海尧德信息科技有限公司,数据产品经理,上海-静安区,6-8千/月,09-03
亚信国际AII,数据产品经理,西安-莲湖区,1.5-2.5万/月,09-03
成都民航空管科技发展有限公司,数据产品经理,成都-武侯区,15-20万/年,09-03
武汉康普常青软件技术股份有限公司...,数据产品经理,武汉,1-1.5万/月,09-03
深圳市恒信永利金融服务有限公司,数据产品经理,深圳-南山区,0.8-1万/月,09-03
上海缔塔科技有限公司,数据产品经理,上海-浦东新区,2.5-3万/月,09-03
河南数慧信息技术有限公司,数据产品经理,郑州,4-6千/月,09-03
上海日砾科技发展有限公司,数据产品经理,上海-普陀区,5-7千/月,09-03
苏州绿百运供应链有限公司,数据产品经理,苏州-相城区,4-5.5千/月,09-03
北京稷业经济咨询有限公司,数据产品经理,北京-朝阳区,1-1.5万/月,09-03
上海讯实网络科技有限公司,数据产品经理,南京-雨花台区,0.8-1.2万/月,09-03
上海优与汽车科技有限公司,数据产品经理,上海-徐汇区,1.5-2万/月,09-03
广东兆丰恒业黄金有限公司,数据产品经理,广州-天河区,0.5-1万/月,09-03
升学教育集团,数据产品经理,深圳-龙岗区,0.8-1万/月,09-03
重庆诺仁网络科技有限公司,数据产品经理,重庆-渝北区,6-8千/月,09-03
云和恩墨（北京）信息技术有限公司...,数据产品经理,北京,1.5-2万/月,09-03
广州市海珠区民誉家政服务部,数据产品经理,广州-越秀区,4.5-6千/月,09-03
上海灏悠信息技术有限公司,数据产品经理,上海-浦东新区,5-8千/月,09-03
乔达国际供应链管理(深圳)有限公司...,数据产品经理,深圳,4.5-5千/月,09-03
上海传言服饰有限公司,数据产品经理,常熟,4.5-6千/月,09-03
广州耀贤网络科技有限公司,数据产品经理,广州-黄埔区,1.5-2万/月,09-03
深圳市侯大福贸易有限公司,数据产品经理,深圳-龙华新区,4-6.5千/月,09-03
广东兆丰恒业黄金有限公司,数据产品经理,广州-天河区,0.5-1万/月,09-03
深圳市猛犸智能有限公司,数据产品经理,深圳-宝安区,1000元/天,09-03
海外网传媒有限公司,数据产品经理,北京-朝阳区,0.6-1万/月,09-03
深圳前海创汇金融服务有限公司,数据产品经理,上海-浦东新区,6-8千/月,09-03
广东兆丰恒业黄金有限公司,数据产品经理,广州-天河区,0.5-1.5万/月,09-03
宁波群芯微电子有限责任公司,数据产品经理,异地招聘,4.5-6千/月,09-03
重庆智飞生物制品股份有限公司,数据产品经理,重庆-江北区,0.8-1.2万/月,09-03
广州汇骏信息咨询服务有限公司,数据产品经理,广州-天河区,6-8千/月,09-03
蓝色光标天地互联科技（北京）有限...,数据产品经理,广州-黄埔区,1.5-2万/月,09-03
广州文远知行科技有限公司,数据产品经理,广州-海珠区,2-4万/月,09-03
北京汉邦云洲服装服饰有限公司,数据产品经理,北京-朝阳区,0.8-1.2万/月,09-03
安徽七天教育科技有限公司,数据产品经理,湛江,0.8-1万/月,09-03
上海神技信息科技有限公司,数据产品经理,上海,6-8千/月,09-03
杭州唯哇贸易有限公司,数据产品经理,杭州-江干区,6-8千/月,09-03
广州聚福电子商务有限公司,数据产品经理,广州-白云区,0.6-1万/月,09-03
德特赛维技术有限公司,数据产品经理,成都,1.5-2万/月,09-03
上海苏翔信息科技有限公司,数据产品经理,苏州-工业园区,0.6-1.3万/月,09-03
南京瑞玥科技有限公司,数据产品经理,淮安,4-6千/月,09-03
广州帝释天软件有限公司,数据产品经理,广州-海珠区,1.5-2万/月,09-03
安信基金管理有限责任公司,数据产品经理,深圳-福田区,0.8-1万/月,09-03
厦门百轮服饰有限公司,数据产品经理,厦门,3-4千/月,09-03
簇藤企业管理咨询（上海）有限公司...,数据产品经理,上海-静安区,1-2万/月,09-03
上海普适导航科技股份有限公司,数据产品经理,上海-青浦区,0.8-1.2万/月,09-03
恩核（北京）信息技术有限公司,数据产品经理,南京-鼓楼区,0.8-1.5万/月,09-03
德比软件（上海）有限公司,数据产品经理,上海-浦东新区,2.5-3万/月,09-03
广东富迪爱无价网络科技有限公司,数据产品经理,广州-海珠区,0.9-1.2万/月,09-03
武汉金豆医疗数据科技有限公司,数据产品经理,深圳-福田区,0.8-1.5万/月,09-03
北京卓成世纪科技发展有限公司,数据产品经理,北京-海淀区,3-4千/月,09-03
纳通医疗集团,数据产品经理,北京-海淀区,1.5-2万/月,09-03
上海姚际信息科技有限公司,数据产品经理,上海-徐汇区,1.5-3万/月,09-03
东莞德永佳纺织制衣有限公司,数据产品经理,东莞-麻涌镇,1-2万/月,09-03
明源软件,数据产品经理,深圳-南山区,1.5-2.5万/月,09-03
成都风暴之灵蓝猫网络科技有限公司...,数据产品经理,重庆-渝北区,3-4千/月,09-03
北京新联财通咨询有限公司,数据产品经理,北京,1-1.5万/月,09-03
北京凯拉斯信息技术有限公司,数据产品经理,北京-西城区,3-4万/月,09-03
泰康在线财产保险股份有限公司,数据产品经理,北京-昌平区,2-2.5万/月,09-03
武汉温纳斯文化传媒有限公司,数据产品经理,武汉-武昌区,1-1.5万/月,09-03
广州花生日记网络科技有限公司,数据产品经理,广州-海珠区,0.6-1万/月,09-03
上海盛德金属制品有限公司,数据产品经理,上海-青浦区,3-5千/月,09-03
广州基森信息咨询有限公司,数据产品经理,广州-天河区,2-3千/月,09-03
广东衣酷文化发展股份有限公司,数据产品经理,广州-荔湾区,0.6-1万/月,09-03
上海胜蓝信息技术服务有限公司,数据产品经理,上海-静安区,6-8千/月,09-03
上海六和勤强食品有限公司,数据产品经理,上海-宝山区,6-8千/月,09-03
上海申通易物流有限公司,数据产品经理,昆山,4.5-6千/月,09-03
上海万序健康科技有限公司,数据产品经理,上海-宝山区,1-1.5万/月,09-03
北京易微管理咨询有限公司,数据产品经理,大连-高新园区,4-4.3千/月,09-03
上海桔子摄影有限公司,数据产品经理,上海-闵行区,6-8千/月,09-03
北京美至网络科技有限公司,数据产品经理,上海-黄浦区,1.5-3万/月,09-03
上海同是科技股份有限公司,数据产品经理,上海-浦东新区,0.6-1万/月,09-03
东莞市粤达人力资源管理咨询有限公...,数据产品经理,东莞-东城区,4.5-6千/月,09-03
广州渠道拓展信息科技有限公司,数据产品经理,广州-黄埔区,3-4.5千/月,09-03
租租车,数据产品经理,广州-天河区,0.8-1.4万/月,09-03
杭州行装网络技术有限公司,数据产品经理,杭州-滨江区,4-6千/月,09-03
上海宝尊电子商务有限公司,数据产品经理,上海,1-1.5万/月,09-03
安徽凯才信息科技有限公司,数据产品经理,武汉-洪山区,6-7千/月,09-03
广东金湾信息科技有限公司,数据产品经理,广州-白云区,3-4.5千/月,09-03
上海圆邦时装有限公司,数据产品经理,上海,0.8-1万/月,09-03
上海天坊信息科技有限公司,数据产品经理,上海,2-2.5万/月,09-03
广东小南瓜信息科技有限公司,数据产品经理,广州-天河区,3.5-4千/月,09-03
广州宝露智能科技有限公司,数据产品经理,广州-天河区,0.8-1万/月,09-03
广东乐数信息科技有限公司,数据产品经理,广州-天河区,6-8千/月,09-03
成都铭逸科技有限公司,数据产品经理,成都-高新区,1-1.5万/月,09-03
上海瑞固实业有限公司,数据产品经理,上海-普陀区,4.5-5.5千/月,09-03
上海迈谱盖特数据科技股份有限公司...,数据产品经理,上海-徐汇区,4-4.5千/月,09-03
上海申美饮料食品有限公司,数据产品经理,上海-浦东新区,4.5-6千/月,09-03
上海迈科金属资源有限公司,数据产品经理,上海-浦东新区,0.8-1万/月,09-03
红牛公司川西分公司,数据产品经理,成都-武侯区,4-6千/月,09-03
永兴东润（中国）服饰有限公司,数据产品经理,上海-杨浦区,8-9千/月,09-03
彭州市余之康农业发展有限公司,数据产品经理,重庆-九龙坡区,3.5-5千/月,09-03
山西北方北斗信息技术股份有限公司...,数据产品经理,朔州,2-4千/月,09-03
四川鑫五鼎贸易有限公司,数据产品经理,重庆,3.5-5千/月,09-03
玑脉（上海）数据技术有限公司,数据产品经理,上海-杨浦区,0.8-1万/月,09-03
长沙市众元网络技术有限公司,数据产品经理,长沙-岳麓区,1-1.5万/月,09-03
深圳市创思信息技术有限公司,数据产品经理,深圳-宝安区,5-8千/月,09-03
苏州星智达管理咨询有限公司,数据产品经理,苏州-工业园区,4.5-6千/月,09-03
上海繁睿信息技术有限公司,数据产品经理,上海-奉贤区,7-8千/月,09-03
国药健康在线有限公司,数据产品经理,上海-青浦区,6-8千/月,09-03
明略科技集团,数据产品经理,北京-海淀区,1.5-2.5万/月,09-03
优企创联信息技术有限公司,数据产品经理,南京-建邺区,5-8千/月,09-03
特斯联(上海)科技有限公司,数据产品经理,上海-徐汇区,2-3万/月,09-03
深圳宝源行汽车销售服务有限公司,数据产品经理,深圳-福田区,5-8千/月,09-03
广州德肌化妆品有限公司,数据产品经理,广州-白云区,3-4.5千/月,09-03
上海靖奇投资管理有限公司,数据产品经理,上海-徐汇区,150元/天,09-03
北京长地万方科技有限公司,数据产品经理,上海-浦东新区,6-8千/月,09-03
信必优(深圳)信息技术有限公司,数据产品经理,深圳-福田区,1.2-1.5万/月,09-03
深圳蚂蚁空间网络科技有限公司,数据产品经理,深圳-南山区,0.8-1万/月,09-03
上海波宏特电器部件有限公司,数据产品经理,上海-嘉定区,3-4.5千/月,09-03
广州汇骏信息咨询服务有限公司,数据产品经理,广州-天河区,4.5-6千/月,09-03
珠海爱浦京软件股份有限公司,数据产品经理,广州-天河区,1.3-1.8万/月,09-03
深圳市凡派网络科技有限公司,数据产品经理,深圳-南山区,1.5-2.5万/月,09-03
广州汇骏信息咨询服务有限公司,数据产品经理,广州-天河区,6-8千/月,09-03
上海极速好车江苏分公司,数据产品经理,苏州-高新区,3-4.5千/月,09-03
苏州乐贝网络科技有限公司,数据产品经理,广州-番禺区,0.8-1.2万/月,09-03
广州妍姿营养健康咨询有限公司,数据产品经理,广州-天河区,3-5千/月,09-03
河南艾美瑞科技有限公司,数据产品经理,郑州-郑东新区,0.8-1万/月,09-03
四川协隆科技有限公司,数据产品经理,成都-武侯区,4-5千/月,09-03
博研正通（北京）信息咨询有限公司...,数据产品经理,北京-朝阳区,6-8千/月,09-03
江苏五星电器有限公司,数据产品经理,南京,1.2-2.2万/月,09-03
锦江麦德龙现购自运有限公司(西南...,数据产品经理,九江,3-4.5千/月,09-03
西安乐源网络科技有限公司,数据产品经理,西安-灞桥区,3-6千/月,09-03
深圳市前海润杨金融服务有限公司,数据产品经理,深圳-南山区,1.5-2万/月,09-03
万宝盛华企业管理咨询（上海）有限...,数据产品经理,上海,6-8千/月,09-03
浙江立元通信技术股份有限公司,数据产品经理,杭州-西湖区,2-3千/月,09-03
无锡华志网络科技有限公司,数据产品经理,无锡-无锡新区,0.9-1.5万/月,09-03
南京听雪电子商务有限公司,数据产品经理,南京-玄武区,3-5千/月,09-03
厦门五颗星信息科技有限公司,数据产品经理,厦门,3-4.5千/月,09-03
成都奥特为通讯有限公司,数据产品经理,成都-高新区,1-2万/月,09-03
上海兆林实业有限公司,数据产品经理,上海,6-8千/月,09-03
北京康柏汉森医药科技咨询有限责任...,数据产品经理,上海-长宁区,4-5.5千/月,09-03
上海沐瞳科技有限公司,数据产品经理,上海-闵行区,1.5-2万/月,09-03
四川佳海电子有限公司,数据产品经理,成都-高新区,4.5-6千/月,09-03
深圳传音控股股份有限公司,数据产品经理,深圳-南山区,2.9-3千/月,09-03
上海宏信建设发展有限公司,数据产品经理,上海-嘉定区,5-8千/月,09-03
广州市融久信息技术有限公司,数据产品经理,广州-增城,0.8-1万/月,09-03
江苏亿科达科技发展有限公司,数据产品经理,南京,3-6千/月,09-03
武汉美特诺科技发展有限公司,数据产品经理,武汉-武昌区,2-2.5万/月,09-03
北京海鑫科金高科技股份有限公司,数据产品经理,济南,5-8千/月,09-03
北京翔睿信诚科技有限公司,数据产品经理,北京-朝阳区,1-2万/月,09-03
佛山电器照明股份有限公司,数据产品经理,佛山-禅城区,4.5-5千/月,09-03
中资宏德资本管理有限公司,数据产品经理,大连-沙河口区,4.5-6千/月,09-03
南京地平线机器人技术有限公司,数据产品经理,南京-栖霞区,4.5-6千/月,09-03
天津市亿人科技发展有限公司,数据产品经理,天津-西青区,3-4.5千/月,09-03
河北世窗信息技术股份有限公司,数据产品经理,沧州,4.5-6千/月,09-03
江苏天赢送变电工程有限公司,数据产品经理,南京-浦口区,4-6千/月,09-03
中国保险信息技术管理有限责任公司...,数据产品经理,北京,1-2万/月,09-03
皮尔法伯（上海）化妆品贸易有限公...,数据产品经理,上海,,09-03
湖北天下汇食品营销有限公司,数据产品经理,武汉-武昌区,6-8千/月,09-03
江苏怡亚通新鹏供应链管理有限公司...,数据产品经理,扬州,4-6千/月,09-03
昆明源玲美容有限公司,数据产品经理,昆明-盘龙区,3-5千/月,09-03
河南诺万信息技术有限公司,数据产品经理,郑州-郑东新区,6-8千/月,09-03
广东华讯工程有限公司,数据产品经理,广州-越秀区,1.1-1.5万/月,09-03
